Clue,Answer,Type,Requires synonym?,Definition,Explanation,Source
Under emotional pressure in past? (5),TENSE,double definition,No,under emotional pressure / past,"double definition, where the DBE of the literal is again indicated by a question mark.",https://times-xwd-times.livejournal.com/2286945.html
"Man, say, in Paisley (4)",ISLE,hidden word,No,"man, say",hidden in (in) paISLEy.,https://times-xwd-times.livejournal.com/2441680.html
Shrub with red or white flowers — unusually red alone (8),OLEANDER,anagram,No,shrub with red or white flowers,anagram of (unusually) RED ALONE.,https://times-xwd-times.livejournal.com/2441680.htmlhttps://times-xwd-times.livejournal.com/2441680.html
Paraffin oil’s odd treatment for sore knee (8),KEROSENE,anagram,No,paraffin oil,anagram of (odd treatment for) SORE KNEES.,https://times-xwd-times.livejournal.com/2441680.html
Rue eroticism that’s deviant and only superficially attractive (12),MERETRICIOUS,anagram,No,deviant and superficially attractive,anagram of (that's deviant) RUE EROTICISM.,https://times-xwd-times.livejournal.com/2441680.html
Short word some feel bally son omitted to send back (12),MONOSYLLABLE,hidden word,No,short word,hidden in (some) a reversal of (to send back) feEL BALLY SON OMitted.,https://times-xwd-times.livejournal.com/2441680.html
Bony eel takes cooking (8),SKELETAL,anagram,No,bony,anagram of (cooking) EEL TAKES.,https://times-xwd-times.livejournal.com/2441680.html
Ate some shortbread in Edinburgh (5),DINED,hidden word,No,ate,Hidden in (some) shortbreaD IN EDinburgh,https://times-xwd-times.livejournal.com/1912329.html
"New throne for queen, perhaps (6)",HORNET,anagram,No,"queen, perharps"," *(THRONE) with ""new"" signposting the anagram.  The female hornet is a queen: did not know this, but seemed eminently plausible on the basis of a queen bee so in it went…",https://times-xwd-times.livejournal.com/1912329.html
Former heads of our legal department (3),OLD,assemblage,No,former,First letters of (heads of) Our Legal Department,https://times-xwd-times.livejournal.com/1912329.html
Fruity buns turn scorched on the outside? (8),SUNBURNT,anagram,No,scorched on the outside,"*(BUNS TURN) with ""fruity"" signalling the anagram",https://times-xwd-times.livejournal.com/1912329.html
Mop of hair caught up in extractor fan (4),AFRO,hidden word,No,mop of hair,Reverse hidden (caught up)  in extractOR FAn,https://times-xwd-times.livejournal.com/1912329.html
"Record kept by Crusoe, divided up (5)",VIDEO,hidden word,No,record,Reversed hidden in CRUS(OE DIV)IDED.,https://times-xwd-times.livejournal.com/2040224.html
"I rent, poor and lazy (5)",INERT,anagram,No,lazy,Anagram [poor] of I rent. As in lazy as a motionless couch potato.,https://times-xwd-times.livejournal.com/2129250.html
Attack and steal from boy (3),ROB,double definition,No,attack and steal from / boy,,https://times-xwd-times.livejournal.com/2129250.html
Some discontent on gallant island nation (5),TONGA,hidden word,No,island nation,"Hidden in ""some"" of the letters of discontenT ON GAllant",https://times-xwd-times.livejournal.com/2128785.html
Heavy trampolinist? (7),BOUNCER,double definition,No,heavy / trampolinist," double definition, a heavy = a guard, etc. Nice!",https://times-xwd-times.livejournal.com/2128785.html
US president plying heroes with wine (10),EISENHOWER,anagram,No,US president," anagram (plying) of HEROES with WINE",https://times-xwd-times.livejournal.com/2128785.html
Frank having credit renewed (6),DIRECT,anagram,No,frank,anagram (renewed) of CREDIT,https://times-xwd-times.livejournal.com/2128785.html
"Out of order, nameless traders (8)",SALESMEN,anagram,No,traders,anagram (out of order) of NAMELESS,https://times-xwd-times.livejournal.com/2128785.html
American entering Malayan kingdom (4),YANK,hidden word,No,american,hidden,https://times-xwd-times.livejournal.com/1896925.html
Sang with partner? Awful deed: tut! (7),DUETTED,anagram,No,sang with partner,"*(DEED TUT) with ""awful"" pointing to the anagram",https://times-xwd-times.livejournal.com/1715279.html
Biblical character appearing in thesaurus (4),ESAU,hidden word,No,biblical charachter,Hidden (appearing) in thESAUrus,https://times-xwd-times.livejournal.com/1715279.html
Widespread and rank (7),GENERAL,double definition,No,widespread / rank,Double definition,https://times-xwd-times.livejournal.com/2010592.html
Behave like a twister in a gale (4),WIND,double definition,No,behave like a twister / in a gale,"Double definition, first a verb and then a noun.",https://times-xwd-times.livejournal.com/2010592.html
Some celeb at home somewhere in Somerset (4),BATH,hidden word,No,somewhere in Somerset,Hidden (some) in {cele}B AT H{ome},https://times-xwd-times.livejournal.com/2010592.html
Female occupying barn or mansion (5),NORMA,hidden word,No,Female,hidden in (occupying) barN OR MAnsion,https://times-xwd-times.livejournal.com/1735541.html
Legendary marksman’s order (4),TELL,double definition,No,Legendary marksman / order,"double definition, the first referring to the Swiss folk hero William/Wilhelm/Guillaume/Guglielmo/Guglielm Tell",https://times-xwd-times.livejournal.com/1735541.html
"Walked in shallow water, or rowed in boat (7)",PADDLED,double definition,No,walked in shallow water / rowed in boat,,https://times-xwd-times.livejournal.com/1890010.html
Saga inevitably reduced in length once more (5),AGAIN,hidden word,No,once more,Hidden [reduced in length] in {s}AGA IN{evitably},https://times-xwd-times.livejournal.com/1890010.html
Serving monarch in the resistance? (4),OHMS,double definition,No,serving monarchs / resistance,,https://times-xwd-times.livejournal.com/2537824.html
Scottish style nationalist party (5),PLAID,double definition,No,scottish style / nationalist party,,https://times-xwd-times.livejournal.com/2537824.html
Group captured by Philoctetes (5),OCTET,hidden word,No,group,,https://times-xwd-times.livejournal.com/2537824.html
Adequate light (4),FAIR,double definition,No,adequate / light,simple double definition.,https://times-xwd-times.livejournal.com/1982914.html
A little more tummy exposed then? (3-2),TOP-UP,double definition,No,a little more / tummy exposed then,"Double definition, one humorous.",https://times-xwd-times.livejournal.com/1982914.html
Bones served up in mean lunch (5),ULNAE,hidden word,No,bones,backwards yhidden in [m]ANE LU[nch].,https://times-xwd-times.livejournal.com/1982914.html
Something put in Christmas pudding is poisonous (3),ASP,hidden word,No,poisonous," Hidden - signalled by 'put in' - ChristmAS Pudding",https://times-xwd-times.livejournal.com/1425814.html
Extract of gum: a mild taste (5),UMAMI,hidden word,No,taste,"hidden in gUM A MIld, to give (Chambers): ""A savoury, satisfying taste, like that of monosodium glutamate""",https://times-xwd-times.livejournal.com/1730755.html
Fur stole covered up boxes (6),OCELOT,hidden word,No,fur,hidden reversal in sTOLE COvered,https://times-xwd-times.livejournal.com/1730755.html
Deepest point in Mahanadi river (5),NADIR,hidden word,No,deepest point,Hidden in {Maha}NADI R{iver},https://times-xwd-times.livejournal.com/1736103.html
